Year;District;deaths;pop;dens_pop;gdp;share_industry;dens_doc;houshold_house;household_size;share_male;share_5_14;share_20_39;share_60
1917;303;902;72439;334.2734712;2777;0.885;0.309174927;2.94;4.3;0.488;0.195;0.342;0.081
1918;303;1237;72439;334.2734712;2777;0.885;0.309174927;2.94;4.3;0.488;0.195;0.342;0.081
1913;304;477;31844;110.7343155;2147;0.493;0.059115795;1.47;5.2;0.52;0.222;0.28;0.108
1914;304;523;31844;110.7343155;2147;0.493;0.059115795;1.47;5.2;0.52;0.222;0.28;0.108
1915;304;427;31844;110.7343155;2147;0.493;0.059115795;1.47;5.2;0.52;0.222;0.28;0.108
1916;304;495;31844;110.7343155;2147;0.493;0.059115795;1.47;5.2;0.52;0.222;0.28;0.108
1917;304;476;31844;110.7343155;2147;0.493;0.059115795;1.47;5.2;0.52;0.222;0.28;0.108
1918;304;630;31844;110.7343155;2147;0.493;0.059115795;1.47;5.2;0.52;0.222;0.28;0.108
1913;305;595;31801;94.20522763;1969;0.43;0.044435031;1.38;5.5;0.516;0.225;0.275;0.11
1914;305;559;31801;94.20522763;1969;0.43;0.044435031;1.38;5.5;0.516;0.225;0.275;0.11
1915;305;548;31801;94.20522763;1969;0.43;0.044435031;1.38;5.5;0.516;0.225;0.275;0.11
1916;305;494;31801;94.20522763;1969;0.43;0.044435031;1.38;5.5;0.516;0.225;0.275;0.11
1917;305;531;31801;94.20522763;1969;0.43;0.044435031;1.38;5.5;0.516;0.225;0.275;0.11
1918;305;734;31801;94.20522763;1969;0.43;0.044435031;1.38;5.5;0.516;0.225;0.275;0.11
1913;400;346;23601;22.3753669;2047;0.676;0.007584549;1.53;5;0.517;0.24;0.295;0.083
1914;400;351;23601;22.3753669;2047;0.676;0.007584549;1.53;5;0.517;0.24;0.295;0.083
1915;400;334;23601;22.3753669;2047;0.676;0.007584549;1.53;5;0.517;0.24;0.295;0.083
1916;400;314;23601;22.3753669;2047;0.676;0.007584549;1.53;5;0.517;0.24;0.295;0.083
1917;400;334;23601;22.3753669;2047;0.676;0.007584549;1.53;5;0.517;0.24;0.295;0.083
1918;400;520;23601;22.3753669;2047;0.676;0.007584549;1.53;5;0.517;0.24;0.295;0.083
1913;501;122;8269;75.35041726;2363;0.683;0.063786784;1.66;4.1;0.495;0.233;0.272;0.096
1914;501;149;8269;75.35041726;2363;0.683;0.063786784;1.66;4.1;0.495;0.233;0.272;0.096
1915;501;128;8269;75.35041726;2363;0.683;0.063786784;1.66;4.1;0.495;0.233;0.272;0.096
1916;501;102;8269;75.35041726;2363;0.683;0.063786784;1.66;4.1;0.495;0.233;0.272;0.096
1917;501;136;8269;75.35041726;2363;0.683;0.063786784;1.66;4.1;0.495;0.233;0.272;0.096
1918;501;166;8269;75.35041726;2363;0.683;0.063786784;1.66;4.1;0.495;0.233;0.272;0.096
1913;502;46;2055;141.6860293;1892;0.804;0.137893946;1.85;4.6;0.448;0.232;0.282;0.075
1914;502;36;2055;141.6860293;1892;0.804;0.137893946;1.85;4.6;0.448;0.232;0.282;0.075
1915;502;24;2055;141.6860293;1892;0.804;0.137893946;1.85;4.6;0.448;0.232;0.282;0.075
1916;502;35;2055;141.6860293;1892;0.804;0.137893946;1.85;4.6;0.448;0.232;0.282;0.075
1917;502;31;2055;141.6860293;1892;0.804;0.137893946;1.85;4.6;0.448;0.232;0.282;0.075
1918;502;37;2055;141.6860293;1892;0.804;0.137893946;1.85;4.6;0.448;0.232;0.282;0.075
1913;503;81;5633;150.3135424;2150;0.709;0.053368913;1.74;4.6;0.501;0.203;0.29;0.092
1914;503;84;5633;150.3135424;2150;0.709;0.053368913;1.74;4.6;0.501;0.203;0.29;0.092
1915;503;75;5633;150.3135424;2150;0.709;0.053368913;1.74;4.6;0.501;0.203;0.29;0.092
1916;503;84;5633;150.3135424;2150;0.709;0.053368913;1.74;4.6;0.501;0.203;0.29;0.092
1917;503;88;5633;150.3135424;2150;0.709;0.053368913;1.74;4.6;0.501;0.203;0.29;0.092
1918;503;114;5633;150.3135424;2150;0.709;0.053368913;1.74;4.6;0.501;0.203;0.29;0.092
1913;504;62;4070;138.2036245;2318;0.64;0.135826658;1.6;4.8;0.53;0.223;0.296;0.079
1914;504;44;4070;138.2036245;2318;0.64;0.135826658;1.6;4.8;0.53;0.223;0.296;0.079
1915;504;38;4070;138.2036245;2318;0.64;0.135826658;1.6;4.8;0.53;0.223;0.296;0.079
1916;504;50;4070;138.2036245;2318;0.64;0.135826658;1.6;4.8;0.53;0.223;0.296;0.079
1917;504;45;4070;138.2036245;2318;0.64;0.135826658;1.6;4.8;0.53;0.223;0.296;0.079
1918;504;87;4070;138.2036245;2318;0.64;0.135826658;1.6;4.8;0.53;0.223;0.296;0.079
1913;505;204;13204;74.82808921;2484;0.647;0.039669541;1.51;4.4;0.495;0.221;0.278;0.104
1914;505;181;13204;74.82808921;2484;0.647;0.039669541;1.51;4.4;0.495;0.221;0.278;0.104
1915;505;173;13204;74.82808921;2484;0.647;0.039669541;1.51;4.4;0.495;0.221;0.278;0.104
1916;505;195;13204;74.82808921;2484;0.647;0.039669541;1.51;4.4;0.495;0.221;0.278;0.104
1917;505;193;13204;74.82808921;2484;0.647;0.039669541;1.51;4.4;0.495;0.221;0.278;0.104
1918;505;239;13204;74.82808921;2484;0.647;0.039669541;1.51;4.4;0.495;0.221;0.278;0.104
1913;506;394;26239;53.17381122;2374;0.645;0.026344737;1.63;4.5;0.494;0.232;0.288;0.087
1914;506;376;26239;53.17381122;2374;0.645;0.026344737;1.63;4.5;0.494;0.232;0.288;0.087
1915;506;368;26239;53.17381122;2374;0.645;0.026344737;1.63;4.5;0.494;0.232;0.288;0.087
1916;506;415;26239;53.17381122;2374;0.645;0.026344737;1.63;4.5;0.494;0.232;0.288;0.087
1917;506;410;26239;53.17381122;2374;0.645;0.026344737;1.63;4.5;0.494;0.232;0.288;0.087
1918;506;560;26239;53.17381122;2374;0.645;0.026344737;1.63;4.5;0.494;0.232;0.288;0.087
1913;600;254;17486;36.30780782;1922;0.532;0.02076393;1.38;4.6;0.519;0.224;0.27;0.117
1914;600;244;17486;36.30780782;1922;0.532;0.02076393;1.38;4.6;0.519;0.224;0.27;0.117
1915;600;244;17486;36.30780782;1922;0.532;0.02076393;1.38;4.6;0.519;0.224;0.27;0.117
1916;600;230;17486;36.30780782;1922;0.532;0.02076393;1.38;4.6;0.519;0.224;0.27;0.117
1917;600;256;17486;36.30780782;1922;0.532;0.02076393;1.38;4.6;0.519;0.224;0.27;0.117
1918;600;372;17486;36.30780782;1922;0.532;0.02076393;1.38;4.6;0.519;0.224;0.27;0.117
1913;700;219;13922;57.80987684;1978;0.648;0.033219294;1.53;4.6;0.508;0.237;0.266;0.099
1914;700;193;13922;57.80987684;1978;0.648;0.033219294;1.53;4.6;0.508;0.237;0.266;0.099
1915;700;210;13922;57.80987684;1978;0.648;0.033219294;1.53;4.6;0.508;0.237;0.266;0.099
1916;700;194;13922;57.80987684;1978;0.648;0.033219294;1.53;4.6;0.508;0.237;0.266;0.099
1917;700;215;13922;57.80987684;1978;0.648;0.033219294;1.53;4.6;0.508;0.237;0.266;0.099
1918;700;264;13922;57.80987684;1978;0.648;0.033219294;1.53;4.6;0.508;0.237;0.266;0.099
1913;800;531;33730;49.85423585;2747;0.863;0.038428999;1.4;3.7;0.486;0.189;0.282;0.12
1914;800;476;33730;49.85423585;2747;0.863;0.038428999;1.4;3.7;0.486;0.189;0.282;0.12
1915;800;427;33730;49.85423585;2747;0.863;0.038428999;1.4;3.7;0.486;0.189;0.282;0.12
1916;800;495;33730;49.85423585;2747;0.863;0.038428999;1.4;3.7;0.486;0.189;0.282;0.12
1917;800;535;33730;49.85423585;2747;0.863;0.038428999;1.4;3.7;0.486;0.189;0.282;0.12
1918;800;672;33730;49.85423585;2747;0.863;0.038428999;1.4;3.7;0.486;0.189;0.282;0.12
1913;900;407;30886;148.9177356;2520;0.768;0.188039619;1.75;4.7;0.491;0.216;0.297;0.082
1914;900;416;30886;148.9177356;2520;0.768;0.188039619;1.75;4.7;0.491;0.216;0.297;0.082
1915;900;391;30886;148.9177356;2520;0.768;0.188039619;1.75;4.7;0.491;0.216;0.297;0.082
1916;900;411;30886;148.9177356;2520;0.768;0.188039619;1.75;4.7;0.491;0.216;0.297;0.082
1917;900;419;30886;148.9177356;2520;0.768;0.188039619;1.75;4.7;0.491;0.216;0.297;0.082
1918;900;621;30886;148.9177356;2520;0.768;0.188039619;1.75;4.7;0.491;0.216;0.297;0.082
1913;1001;283;15589;89.41928231;1984;0.392;0.01720815;1.14;4.9;0.504;0.227;0.264;0.104
1914;1001;275;15589;89.41928231;1984;0.392;0.01720815;1.14;4.9;0.504;0.227;0.264;0.104
1915;1001;280;15589;89.41928231;1984;0.392;0.01720815;1.14;4.9;0.504;0.227;0.264;0.104
1916;1001;280;15589;89.41928231;1984;0.392;0.01720815;1.14;4.9;0.504;0.227;0.264;0.104
1917;1001;304;15589;89.41928231;1984;0.392;0.01720815;1.14;4.9;0.504;0.227;0.264;0.104
1918;1001;407;15589;89.41928231;1984;0.392;0.01720815;1.14;4.9;0.504;0.227;0.264;0.104
1913;1002;322;14915;88.35596881;1933;0.383;0.017771901;1.21;5;0.514;0.232;0.267;0.098
1914;1002;363;14915;88.35596881;1933;0.383;0.017771901;1.21;5;0.514;0.232;0.267;0.098
1915;1002;292;14915;88.35596881;1933;0.383;0.017771901;1.21;5;0.514;0.232;0.267;0.098
1916;1002;240;14915;88.35596881;1933;0.383;0.017771901;1.21;5;0.514;0.232;0.267;0.098
1917;1002;269;14915;88.35596881;1933;0.383;0.017771901;1.21;5;0.514;0.232;0.267;0.098
1918;1002;333;14915;88.35596881;1933;0.383;0.017771901;1.21;5;0.514;0.232;0.267;0.098
1913;1003;461;26953;54.08362143;2446;0.641;0.01605272;1.45;4.6;0.5;0.227;0.275;0.103
1914;1003;417;26953;54.08362143;2446;0.641;0.01605272;1.45;4.6;0.5;0.227;0.275;0.103
1915;1003;436;26953;54.08362143;2446;0.641;0.01605272;1.45;4.6;0.5;0.227;0.275;0.103
1916;1003;411;26953;54.08362143;2446;0.641;0.01605272;1.45;4.6;0.5;0.227;0.275;0.103
1917;1003;410;26953;54.08362143;2446;0.641;0.01605272;1.45;4.6;0.5;0.227;0.275;0.103
1918;1003;490;26953;54.08362143;2446;0.641;0.01605272;1.45;4.6;0.5;0.227;0.275;0.103
1913;1004;673;39114;180.3409298;2543;0.728;0.064549088;1.72;4.8;0.501;0.223;0.296;0.081
1914;1004;651;39114;180.3409298;2543;0.728;0.064549088;1.72;4.8;0.501;0.223;0.296;0.081
1915;1004;649;39114;180.3409298;2543;0.728;0.064549088;1.72;4.8;0.501;0.223;0.296;0.081
1916;1004;562;39114;180.3409298;2543;0.728;0.064549088;1.72;4.8;0.501;0.223;0.296;0.081
1917;1004;660;39114;180.3409298;2543;0.728;0.064549088;1.72;4.8;0.501;0.223;0.296;0.081
1918;1004;876;39114;180.3409298;2543;0.728;0.064549088;1.72;4.8;0.501;0.223;0.296;0.081
1913;1005;247;15383;105.4904693;2122;0.462;0.034288003;1.26;4.7;0.511;0.233;0.261;0.096
1914;1005;242;15383;105.4904693;2122;0.462;0.034288003;1.26;4.7;0.511;0.233;0.261;0.096
1915;1005;217;15383;105.4904693;2122;0.462;0.034288003;1.26;4.7;0.511;0.233;0.261;0.096
1916;1005;203;15383;105.4904693;2122;0.462;0.034288003;1.26;4.7;0.511;0.233;0.261;0.096
1917;1005;248;15383;105.4904693;2122;0.462;0.034288003;1.26;4.7;0.511;0.233;0.261;0.096
1918;1005;312;15383;105.4904693;2122;0.462;0.034288003;1.26;4.7;0.511;0.233;0.261;0.096
1913;1006;309;21845;82.44009083;1770;0.381;0.011321596;1.21;5.8;0.517;0.263;0.265;0.077
1914;1006;816;21845;82.44009083;1770;0.381;0.011321596;1.21;5.8;0.517;0.263;0.265;0.077
1915;1006;816;21845;82.44009083;1770;0.381;0.011321596;1.21;5.8;0.517;0.263;0.265;0.077
1916;1006;325;21845;82.44009083;1770;0.381;0.011321596;1.21;5.8;0.517;0.263;0.265;0.077
1917;1006;387;21845;82.44009083;1770;0.381;0.011321596;1.21;5.8;0.517;0.263;0.265;0.077
1918;1006;477;21845;82.44009083;1770;0.381;0.011321596;1.21;5.8;0.517;0.263;0.265;0.077
1913;1007;160;8576;63.85732178;1936;0.475;0.022338149;1.28;4.9;0.505;0.247;0.255;0.099
1914;1007;167;8576;63.85732178;1936;0.475;0.022338149;1.28;4.9;0.505;0.247;0.255;0.099
1915;1007;167;8576;63.85732178;1936;0.475;0.022338149;1.28;4.9;0.505;0.247;0.255;0.099
1916;1007;139;8576;63.85732178;1936;0.475;0.022338149;1.28;4.9;0.505;0.247;0.255;0.099
1917;1007;156;8576;63.85732178;1936;0.475;0.022338149;1.28;4.9;0.505;0.247;0.255;0.099
1918;1007;181;8576;63.85732178;1936;0.475;0.022338149;1.28;4.9;0.505;0.247;0.255;0.099
1913;1101;88;7023;112.7423045;2335;0.707;0.016053297;1.43;4.8;0.62;0.239;0.278;0.087
1914;1101;82;7023;112.7423045;2335;0.707;0.016053297;1.43;4.8;0.62;0.239;0.278;0.087
1915;1101;92;7023;112.7423045;2335;0.707;0.016053297;1.43;4.8;0.62;0.239;0.278;0.087
1916;1101;90;7023;112.7423045;2335;0.707;0.016053297;1.43;4.8;0.62;0.239;0.278;0.087
1917;1101;104;7023;112.7423045;2335;0.707;0.016053297;1.43;4.8;0.62;0.239;0.278;0.087
1918;1101;133;7023;112.7423045;2335;0.707;0.016053297;1.43;4.8;0.62;0.239;0.278;0.087
1913;1102;140;10561;75.78524667;2335;0.764;0.028703815;1.71;4.9;0.514;0.254;0.282;0.074
1914;1102;137;10561;75.78524667;2335;0.764;0.028703815;1.71;4.9;0.514;0.254;0.282;0.074
1915;1102;148;10561;75.78524667;2335;0.764;0.028703815;1.71;4.9;0.514;0.254;0.282;0.074
1916;1102;141;10561;75.78524667;2335;0.764;0.028703815;1.71;4.9;0.514;0.254;0.282;0.074
1917;1102;121;10561;75.78524667;2335;0.764;0.028703815;1.71;4.9;0.514;0.254;0.282;0.074
1918;1102;192;10561;75.78524667;2335;0.764;0.028703815;1.71;4.9;0.514;0.254;0.282;0.074
1913;1103;77;5815;92.54072428;2461;0.457;0.03182828;1.26;4.5;0.503;0.24;0.252;0.115
1914;1103;75;5815;92.54072428;2461;0.457;0.03182828;1.26;4.5;0.503;0.24;0.252;0.115
1915;1103;82;5815;92.54072428;2461;0.457;0.03182828;1.26;4.5;0.503;0.24;0.252;0.115
1916;1103;81;5815;92.54072428;2461;0.457;0.03182828;1.26;4.5;0.503;0.24;0.252;0.115
1917;1103;78;5815;92.54072428;2461;0.457;0.03182828;1.26;4.5;0.503;0.24;0.252;0.115
1918;1103;94;5815;92.54072428;2461;0.457;0.03182828;1.26;4.5;0.503;0.24;0.252;0.115
1913;1104;104;7687;100.19852;1821;0.636;0.039104405;1.42;4.5;0.561;0.228;0.273;0.096
1914;1104;109;7687;100.19852;1821;0.636;0.039104405;1.42;4.5;0.561;0.228;0.273;0.096
1915;1104;94;7687;100.19852;1821;0.636;0.039104405;1.42;4.5;0.561;0.228;0.273;0.096
1916;1104;82;7687;100.19852;1821;0.636;0.039104405;1.42;4.5;0.561;0.228;0.273;0.096
1917;1104;120;7687;100.19852;1821;0.636;0.039104405;1.42;4.5;0.561;0.228;0.273;0.096
1918;1104;138;7687;100.19852;1821;0.636;0.039104405;1.42;4.5;0.561;0.228;0.273;0.096
1913;1105;211;11213;149.9824109;2600;0.811;0.013375761;1.66;4.8;0.497;0.233;0.281;0.087
1914;1105;187;11213;149.9824109;2600;0.811;0.013375761;1.66;4.8;0.497;0.233;0.281;0.087
1915;1105;165;11213;149.9824109;2600;0.811;0.013375761;1.66;4.8;0.497;0.233;0.281;0.087
1916;1105;164;11213;149.9824109;2600;0.811;0.013375761;1.66;4.8;0.497;0.233;0.281;0.087
1917;1105;149;11213;149.9824109;2600;0.811;0.013375761;1.66;4.8;0.497;0.233;0.281;0.087
1918;1105;206;11213;149.9824109;2600;0.811;0.013375761;1.66;4.8;0.497;0.233;0.281;0.087
1913;1106;254;20192;197.6412643;2461;0.852;0.068516682;2.03;4.7;0.499;0.25;0.283;0.059
1914;1106;252;20192;197.6412643;2461;0.852;0.068516682;2.03;4.7;0.499;0.25;0.283;0.059
1915;1106;209;20192;197.6412643;2461;0.852;0.068516682;2.03;4.7;0.499;0.25;0.283;0.059
1916;1106;199;20192;197.6412643;2461;0.852;0.068516682;2.03;4.7;0.499;0.25;0.283;0.059
1917;1106;249;20192;197.6412643;2461;0.852;0.068516682;2.03;4.7;0.499;0.25;0.283;0.059
1918;1106;369;20192;197.6412643;2461;0.852;0.068516682;2.03;4.7;0.499;0.25;0.283;0.059
1913;1107;262;20546;299.2443883;2761;0.862;0.058258423;2.15;4.5;0.506;0.227;0.311;0.065
1914;1107;260;20546;299.2443883;2761;0.862;0.058258423;2.15;4.5;0.506;0.227;0.311;0.065
1915;1107;213;20546;299.2443883;2761;0.862;0.058258423;2.15;4.5;0.506;0.227;0.311;0.065
1916;1107;236;20546;299.2443883;2761;0.862;0.058258423;2.15;4.5;0.506;0.227;0.311;0.065
1917;1107;278;20546;299.2443883;2761;0.862;0.058258423;2.15;4.5;0.506;0.227;0.311;0.065
1918;1107;431;20546;299.2443883;2761;0.862;0.058258423;2.15;4.5;0.506;0.227;0.311;0.065
1913;1108;315;24905;309.1457746;2600;0.902;0.124130004;1.7;4.5;0.483;0.224;0.315;0.074
1914;1108;287;24905;309.1457746;2600;0.902;0.124130004;1.7;4.5;0.483;0.224;0.315;0.074
1915;1108;264;24905;309.1457746;2600;0.902;0.124130004;1.7;4.5;0.483;0.224;0.315;0.074
1916;1108;270;24905;309.1457746;2600;0.902;0.124130004;1.7;4.5;0.483;0.224;0.315;0.074
1917;1108;252;24905;309.1457746;2600;0.902;0.124130004;1.7;4.5;0.483;0.224;0.315;0.074
1918;1108;403;24905;309.1457746;2600;0.902;0.124130004;1.7;4.5;0.483;0.224;0.315;0.074
1913;1109;182;12790;108.5511854;2761;0.982;0.093359112;2.31;4.1;0.464;0.173;0.33;0.091
1914;1109;154;12790;108.5511854;2761;0.982;0.093359112;2.31;4.1;0.464;0.173;0.33;0.091
1915;1109;152;12790;108.5511854;2761;0.982;0.093359112;2.31;4.1;0.464;0.173;0.33;0.091
1916;1109;157;12790;108.5511854;2761;0.982;0.093359112;2.31;4.1;0.464;0.173;0.33;0.091
1917;1109;176;12790;108.5511854;2761;0.982;0.093359112;2.31;4.1;0.464;0.173;0.33;0.091
1918;1109;274;12790;108.5511854;2761;0.982;0.093359112;2.31;4.1;0.464;0.173;0.33;0.091
1913;1110;92;7172;1152.239573;1821;0.658;0.160658055;1.31;5;0.504;0.227;0.258;0.101
1914;1110;103;7172;1152.239573;1821;0.658;0.160658055;1.31;5;0.504;0.227;0.258;0.101
1915;1110;133;7172;1152.239573;1821;0.658;0.160658055;1.31;5;0.504;0.227;0.258;0.101
1916;1110;107;7172;1152.239573;1821;0.658;0.160658055;1.31;5;0.504;0.227;0.258;0.101
1917;1110;112;7172;1152.239573;1821;0.658;0.160658055;1.31;5;0.504;0.227;0.258;0.101
1918;1110;149;7172;1152.239573;1821;0.658;0.160658055;1.31;5;0.504;0.227;0.258;0.101
1913;1200;1646;139750;301.1656782;3603;0.997;0.31894469;3;3.9;0.465;0.195;0.352;0.069
1914;1200;1442;139750;301.1656782;3603;0.997;0.31894469;3;3.9;0.465;0.195;0.352;0.069
1915;1200;1525;139750;301.1656782;3603;0.997;0.31894469;3;3.9;0.465;0.195;0.352;0.069
1916;1200;1373;139750;301.1656782;3603;0.997;0.31894469;3;3.9;0.465;0.195;0.352;0.069
1917;1200;1574;139750;301.1656782;3603;0.997;0.31894469;3;3.9;0.465;0.195;0.352;0.069
1918;1200;2192;139750;301.1656782;3603;0.997;0.31894469;3;3.9;0.465;0.195;0.352;0.069
1913;1301;445;35657;371.3535863;1862;0.897;0.187462898;1.85;4.5;0.499;0.229;0.308;0.066
1914;1301;407;35657;371.3535863;1862;0.897;0.187462898;1.85;4.5;0.499;0.229;0.308;0.066
1915;1301;435;35657;371.3535863;1862;0.897;0.187462898;1.85;4.5;0.499;0.229;0.308;0.066
1916;1301;381;35657;371.3535863;1862;0.897;0.187462898;1.85;4.5;0.499;0.229;0.308;0.066
1917;1301;434;35657;371.3535863;1862;0.897;0.187462898;1.85;4.5;0.499;0.229;0.308;0.066
1918;1301;490;35657;371.3535863;1862;0.897;0.187462898;1.85;4.5;0.499;0.229;0.308;0.066
1913;1302;257;18668;216.0395602;2554;0.834;0.104154491;1.66;4.6;0.5;0.211;0.3;0.095
1914;1302;274;18668;216.0395602;2554;0.834;0.104154491;1.66;4.6;0.5;0.211;0.3;0.095
1915;1302;242;18668;216.0395602;2554;0.834;0.104154491;1.66;4.6;0.5;0.211;0.3;0.095
1916;1302;251;18668;216.0395602;2554;0.834;0.104154491;1.66;4.6;0.5;0.211;0.3;0.095
1917;1302;291;18668;216.0395602;2554;0.834;0.104154491;1.66;4.6;0.5;0.211;0.3;0.095
1918;1302;433;18668;216.0395602;2554;0.834;0.104154491;1.66;4.6;0.5;0.211;0.3;0.095
1913;1303;243;17242;124.2569948;2326;0.695;0.050446524;1.51;4.6;0.49;0.224;0.279;0.093
1914;1303;219;17242;124.2569948;2326;0.695;0.050446524;1.51;4.6;0.49;0.224;0.279;0.093
1915;1303;187;17242;124.2569948;2326;0.695;0.050446524;1.51;4.6;0.49;0.224;0.279;0.093
1916;1303;212;17242;124.2569948;2326;0.695;0.050446524;1.51;4.6;0.49;0.224;0.279;0.093
1917;1303;227;17242;124.2569948;2326;0.695;0.050446524;1.51;4.6;0.49;0.224;0.279;0.093
1918;1303;290;17242;124.2569948;2326;0.695;0.050446524;1.51;4.6;0.49;0.224;0.279;0.093
1913;1304;120;9643;91.16555392;2348;0.707;0.018908131;1.42;4.6;0.503;0.217;0.293;0.093
1914;1304;115;9643;91.16555392;2348;0.707;0.018908131;1.42;4.6;0.503;0.217;0.293;0.093
1915;1304;136;9643;91.16555392;2348;0.707;0.018908131;1.42;4.6;0.503;0.217;0.293;0.093
1916;1304;100;9643;91.16555392;2348;0.707;0.018908131;1.42;4.6;0.503;0.217;0.293;0.093
1917;1304;138;9643;91.16555392;2348;0.707;0.018908131;1.42;4.6;0.503;0.217;0.293;0.093
1918;1304;173;9643;91.16555392;2348;0.707;0.018908131;1.42;4.6;0.503;0.217;0.293;0.093
1913;1401;45;3227;77.5245943;1677;0.42;0.024023735;1.35;3.8;0.486;0.207;0.254;0.139
1914;1401;49;3227;77.5245943;1677;0.42;0.024023735;1.35;3.8;0.486;0.207;0.254;0.139
1915;1401;42;3227;77.5245943;1677;0.42;0.024023735;1.35;3.8;0.486;0.207;0.254;0.139
1916;1401;56;3227;77.5245943;1677;0.42;0.024023735;1.35;3.8;0.486;0.207;0.254;0.139
1917;1401;64;3227;77.5245943;1677;0.42;0.024023735;1.35;3.8;0.486;0.207;0.254;0.139
1918;1401;51;3227;77.5245943;1677;0.42;0.024023735;1.35;3.8;0.486;0.207;0.254;0.139
1913;1402;74;4015;83.21829932;2440;0.497;0.041453698;1.3;4.4;0.54;0.207;0.285;0.096
1914;1402;56;4015;83.21829932;2440;0.497;0.041453698;1.3;4.4;0.54;0.207;0.285;0.096
1915;1402;72;4015;83.21829932;2440;0.497;0.041453698;1.3;4.4;0.54;0.207;0.285;0.096
1916;1402;57;4015;83.21829932;2440;0.497;0.041453698;1.3;4.4;0.54;0.207;0.285;0.096
1917;1402;66;4015;83.21829932;2440;0.497;0.041453698;1.3;4.4;0.54;0.207;0.285;0.096
1918;1402;74;4015;83.21829932;2440;0.497;0.041453698;1.3;4.4;0.54;0.207;0.285;0.096
1913;1403;397;31070;325.1550949;2763;0.906;0.156978643;2.21;4.2;0.494;0.197;0.332;0.08
1914;1403;368;31070;325.1550949;2763;0.906;0.156978643;2.21;4.2;0.494;0.197;0.332;0.08
1915;1403;421;31070;325.1550949;2763;0.906;0.156978643;2.21;4.2;0.494;0.197;0.332;0.08
1916;1403;441;31070;325.1550949;2763;0.906;0.156978643;2.21;4.2;0.494;0.197;0.332;0.08
1917;1403;486;31070;325.1550949;2763;0.906;0.156978643;2.21;4.2;0.494;0.197;0.332;0.08
1918;1403;573;31070;325.1550949;2763;0.906;0.156978643;2.21;4.2;0.494;0.197;0.332;0.08
1913;1404;42;3103;71.14263835;1814;0.34;0.022927051;1.3;4;0.494;0.224;0.25;0.157
1914;1404;66;3103;71.14263835;1814;0.34;0.022927051;1.3;4;0.494;0.224;0.25;0.157
1915;1404;46;3103;71.14263835;1814;0.34;0.022927051;1.3;4;0.494;0.224;0.25;0.157
1916;1404;52;3103;71.14263835;1814;0.34;0.022927051;1.3;4;0.494;0.224;0.25;0.157
1917;1404;42;3103;71.14263835;1814;0.34;0.022927051;1.3;4;0.494;0.224;0.25;0.157
1918;1404;58;3103;71.14263835;1814;0.34;0.022927051;1.3;4;0.494;0.224;0.25;0.157
1913;1405;46;4086;149.5613088;2084;0.727;0.14641342;1.5;3.8;0.466;0.207;0.261;0.119
1914;1405;47;4086;149.5613088;2084;0.727;0.14641342;1.5;3.8;0.466;0.207;0.261;0.119
1915;1405;48;4086;149.5613088;2084;0.727;0.14641342;1.5;3.8;0.466;0.207;0.261;0.119
1916;1405;65;4086;149.5613088;2084;0.727;0.14641342;1.5;3.8;0.466;0.207;0.261;0.119
1917;1405;53;4086;149.5613088;2084;0.727;0.14641342;1.5;3.8;0.466;0.207;0.261;0.119
1918;1405;68;4086;149.5613088;2084;0.727;0.14641342;1.5;3.8;0.466;0.207;0.261;0.119
1913;1406;61;4060;97.36397821;1968;0.357;0.047962551;1.27;3.8;0.469;0.204;0.271;0.154
1914;1406;75;4060;97.36397821;1968;0.357;0.047962551;1.27;3.8;0.469;0.204;0.271;0.154
1915;1406;73;4060;97.36397821;1968;0.357;0.047962551;1.27;3.8;0.469;0.204;0.271;0.154
1916;1406;58;4060;97.36397821;1968;0.357;0.047962551;1.27;3.8;0.469;0.204;0.271;0.154
1917;1406;81;4060;97.36397821;1968;0.357;0.047962551;1.27;3.8;0.469;0.204;0.271;0.154
1918;1406;62;4060;97.36397821;1968;0.357;0.047962551;1.27;3.8;0.469;0.204;0.271;0.154
1913;1501;385;25527;187.7514035;2691;0.852;0.139745237;1.67;3.9;0.483;0.194;0.309;0.097
1914;1501;374;25527;187.7514035;2691;0.852;0.139745237;1.67;3.9;0.483;0.194;0.309;0.097
1915;1501;369;25527;187.7514035;2691;0.852;0.139745237;1.67;3.9;0.483;0.194;0.309;0.097
1916;1501;406;25527;187.7514035;2691;0.852;0.139745237;1.67;3.9;0.483;0.194;0.309;0.097
1917;1501;383;25527;187.7514035;2691;0.852;0.139745237;1.67;3.9;0.483;0.194;0.309;0.097
1918;1501;474;25527;187.7514035;2691;0.852;0.139745237;1.67;3.9;0.483;0.194;0.309;0.097
1913;1502;260;14515;240.5017149;2691;0.865;0.2153994;1.41;3.7;0.48;0.2;0.29;0.114
1914;1502;243;14515;240.5017149;2691;0.865;0.2153994;1.41;3.7;0.48;0.2;0.29;0.114
1915;1502;224;14515;240.5017149;2691;0.865;0.2153994;1.41;3.7;0.48;0.2;0.29;0.114
1916;1502;194;14515;240.5017149;2691;0.865;0.2153994;1.41;3.7;0.48;0.2;0.29;0.114
1917;1502;225;14515;240.5017149;2691;0.865;0.2153994;1.41;3.7;0.48;0.2;0.29;0.114
1918;1502;256;14515;240.5017149;2691;0.865;0.2153994;1.41;3.7;0.48;0.2;0.29;0.114
