District;cases;pop;dens_pop;gdp;share_industry;dens_doc;houshold_house;household_size;share_male;share_5_14;share_20_39;share_60
502;687;2055;141.6860293;1892;0.804;0.137893946;1.85;4.6;0.448;0.232;0.282;0.075
503;995;5633;150.3135424;2150;0.709;0.053368913;1.74;4.6;0.501;0.203;0.29;0.092
504;930;4070;138.2036245;2318;0.64;0.135826658;1.6;4.8;0.53;0.223;0.296;0.079
505;2520;13204;74.82808921;2484;0.647;0.039669541;1.51;4.4;0.495;0.221;0.278;0.104
506;6782;26239;53.17381122;2374;0.645;0.026344737;1.63;4.5;0.494;0.232;0.288;0.087
600;5472;17486;36.30780782;1922;0.532;0.02076393;1.38;4.6;0.519;0.224;0.27;0.117
700;2066;13922;57.80987684;1978;0.648;0.033219294;1.53;4.6;0.508;0.237;0.266;0.099
800;5940;33730;49.85423585;2747;0.863;0.038428999;1.4;3.7;0.486;0.189;0.282;0.12
900;6706;30886;148.9177356;2520;0.768;0.188039619;1.75;4.7;0.491;0.216;0.297;0.082
1001;2108;15589;89.41928231;1984;0.392;0.01720815;1.14;4.9;0.504;0.227;0.264;0.104
1002;2019;14915;88.35596881;1933;0.383;0.017771901;1.21;5;0.514;0.232;0.267;0.098
1003;3656;26953;54.08362143;2446;0.641;0.01605272;1.45;4.6;0.5;0.227;0.275;0.103
1004;5281;39114;180.3409298;2543;0.728;0.064549088;1.72;4.8;0.501;0.223;0.296;0.081
1005;2076;15383;105.4904693;2122;0.462;0.034288003;1.26;4.7;0.511;0.233;0.261;0.096
1006;2974;21845;82.44009083;1770;0.381;0.011321596;1.21;5.8;0.517;0.263;0.265;0.077
1007;1189;8576;63.85732178;1936;0.475;0.022338149;1.28;4.9;0.505;0.247;0.255;0.099
1101;1902;7023;112.7423045;2335;0.707;0.016053297;1.43;4.8;0.62;0.239;0.278;0.087
1102;2205;10561;75.78524667;2335;0.764;0.028703815;1.71;4.9;0.514;0.254;0.282;0.074
1103;1057;5815;92.54072428;2461;0.457;0.03182828;1.26;4.5;0.503;0.24;0.252;0.115
1104;1079;7687;100.19852;1821;0.636;0.039104405;1.42;4.5;0.561;0.228;0.273;0.096
1105;2086;11213;149.9824109;2600;0.811;0.013375761;1.66;4.8;0.497;0.233;0.281;0.087
1106;2807;20192;197.6412643;2461;0.852;0.068516682;2.03;4.7;0.499;0.25;0.283;0.059
1107;4534;20546;299.2443883;2761;0.862;0.058258423;2.15;4.5;0.506;0.227;0.311;0.065
1108;5264;24905;309.1457746;2600;0.902;0.124130004;1.7;4.5;0.483;0.224;0.315;0.074
1109;2121;12790;108.5511854;2761;0.982;0.093359112;2.31;4.1;0.464;0.173;0.33;0.091
1110;862;7172;1152.239573;1821;0.658;0.160658055;1.31;5;0.504;0.227;0.258;0.101
1200;30360;139750;301.1656782;3603;0.997;0.31894469;3;3.9;0.465;0.195;0.352;0.069
1301;6117;35657;371.3535863;1862;0.897;0.187462898;1.85;4.5;0.499;0.229;0.308;0.066
1302;4504;18668;216.0395602;2554;0.834;0.104154491;1.66;4.6;0.5;0.211;0.3;0.095
1303;3242;17242;124.2569948;2326;0.695;0.050446524;1.51;4.6;0.49;0.224;0.279;0.093
1304;1813;9643;91.16555392;2348;0.707;0.018908131;1.42;4.6;0.503;0.217;0.293;0.093
1401;896;3227;77.5245943;1677;0.42;0.024023735;1.35;3.8;0.486;0.207;0.254;0.139
1402;397;4015;83.21829932;2440;0.497;0.041453698;1.3;4.4;0.54;0.207;0.285;0.096
1403;6443;31070;325.1550949;2763;0.906;0.156978643;2.21;4.2;0.494;0.197;0.332;0.08
1404;459;3103;71.14263835;1814;0.34;0.022927051;1.3;4;0.494;0.224;0.25;0.157
1405;405;4086;149.5613088;2084;0.727;0.14641342;1.5;3.8;0.466;0.207;0.261;0.119
1406;811;4060;97.36397821;1968;0.357;0.047962551;1.27;3.8;0.469;0.204;0.271;0.154
1501;3795;25527;187.7514035;2691;0.852;0.139745237;1.67;3.9;0.483;0.194;0.309;0.097
1502;2966;14515;240.5017149;2691;0.865;0.2153994;1.41;3.7;0.48;0.2;0.29;0.114
1503;3071;15836;341.3468067;2691;0.875;0.215551154;1.28;3.8;0.482;0.208;0.267;0.142
1600;332;14623;84.72980388;2777;0.7;0.023177133;1.31;4.5;0.488;0.231;0.276;0.086
1701;20789;75881;1065.847673;3438;0.963;0.575898507;2.98;4;0.445;0.137;0.404;0.071
1702;5579;24549;497.9856623;2179;0.887;0.344851369;2.11;4.2;0.481;0.199;0.339;0.066
1703;4397;21319;417.9646988;2422;0.81;0.215657943;1.44;4.2;0.482;0.216;0.308;0.075
1704;2787;19334;198.3822825;2242;0.669;0.071825591;1.21;4.3;0.47;0.213;0.271;0.094
1705;4006;19664;95.02629364;2397;0.619;0.038660006;1.22;4.4;0.497;0.21;0.294;0.104
1706;3321;21149;40.81629502;2009;0.66;0.019299397;1.31;4.5;0.491;0.207;0.291;0.103
1707;1724;8384;61.9386258;2256;0.647;0.022163153;1.22;4.5;0.494;0.231;0.268;0.095
1708;4250;16411;147.8617662;2390;0.753;0.108119017;1.52;4.3;0.488;0.196;0.301;0.098
1709;1983;11659;52.13212289;2611;0.672;0.026828436;1.23;4;0.498;0.199;0.288;0.114
1710;2517;12118;117.6041289;2551;0.759;0.058229475;1.46;4;0.497;0.202;0.298;0.1
1711;2070;12724;105.0338487;2185;0.663;0.033019129;1.2;4.6;0.499;0.228;0.278;0.09
1712;5135;24892;233.5542334;2471;0.846;0.140740539;1.49;4.4;0.491;0.197;0.304;0.086
1713;3376;14229;178.4046271;2281;0.741;0.075228601;1.44;4.5;0.492;0.194;0.303;0.102
1714;3174;14701;189.1550747;1704;0.761;0.141534986;1.57;4.4;0.486;0.2;0.336;0.062
1801;5011;6507;8.912751192;1649;0.372;0.00547887;1.15;4.1;0.494;0.192;0.278;0.139
1802;1804;4974;21.07884352;1670;0.423;0.012713416;1.4;4.3;0.485;0.198;0.288;0.106
1803;4063;11448;16.49242628;1865;0.342;0.005762553;1.29;4.5;0.498;0.21;0.267;0.128
1804;1331;6713;25.67054892;2039;0.436;0.007648011;1.33;4.1;0.509;0.178;0.301;0.123
